Date,XLK,XLF,XLE,XLU,XLV,XLI,XLP,XLY
2011-08-29,10.045714378356934,8.230435371398926,20.372777938842773,10.230284690856934,25.801227569580078,24.240537643432617,20.671350479125977,15.575333595275879
2011-08-30,10.086888313293457,8.174736022949219,20.493085861206055,10.236369132995605,25.8870849609375,24.44563865661621,20.725204467773438,15.646565437316895
2011-08-31,10.062186241149902,8.279937744140625,20.646499633789062,10.303251266479492,26.06658172607422,24.612775802612305,20.792512893676758,15.742939949035645
2011-09-01,9.95102310180664,8.094292640686035,20.49008560180664,10.236369132995605,25.894882202148438,24.21014976501465,20.718473434448242,15.550193786621094
2011-09-02,9.724583625793457,7.760122299194336,19.918577194213867,10.120841979980469,25.325170516967773,23.435306549072266,20.42230224609375,15.110210418701172
2011-09-06,9.679293632507324,7.6239824295043945,19.701995849609375,10.072196006774902,25.387605667114258,23.192216873168945,20.34151840209961,15.064107894897461
2011-09-07,9.930439949035645,7.9890923500061035,20.423912048339844,10.184684753417969,25.996334075927734,23.913888931274414,20.705001831054688,15.453812599182129
2011-09-08,9.881030082702637,7.815817356109619,20.186281204223633,10.178606033325195,25.71538543701172,23.556842803955078,20.651159286499023,15.244301795959473
2011-09-09,9.671058654785156,7.568286895751953,19.518516540527344,9.97187328338623,24.9505558013916,22.92633628845215,20.19343376159668,14.842033386230469
2011-09-12,9.786337852478027,7.654925346374512,19.61176109313965,10.053956031799316,25.036405563354492,22.971914291381836,20.21363639831543,15.018022537231445
2011-09-13,9.901615142822266,7.704428195953369,19.665904998779297,10.120841979980469,25.293949127197266,23.397319793701172,20.287675857543945,15.194015502929688
2011-09-14,10.049832344055176,7.797252655029297,19.90955352783203,10.190765380859375,25.535877227783203,23.807537078857422,20.529993057250977,15.445428848266602
2011-09-15,10.21039867401123,7.995275974273682,20.3035888671875,10.318453788757324,25.770015716552734,24.293703079223633,20.772321701049805,15.705233573913574
2011-09-16,10.32363510131836,8.020130157470703,20.259490966796875,10.436083793640137,25.908903121948242,24.422046661376953,20.907228469848633,15.880988121032715
2011-09-19,10.298837661743164,7.802694320678711,19.939411163330078,10.377729415893555,25.665660858154297,24.1928768157959,20.730968475341797,15.851554870605469
2011-09-20,10.274041175842285,7.777846336364746,19.815597534179688,10.528219223022461,25.901044845581055,24.017181396484375,20.771636962890625,15.767461776733398
2011-09-21,10.121129989624023,7.392680644989014,18.991212844848633,10.334728240966797,25.20271873474121,23.024105072021484,20.344541549682617,15.25869369506836
2011-09-22,9.80704116821289,7.181464672088623,17.9191951751709,10.159673690795898,24.692705154418945,22.160886764526367,19.958127975463867,14.800386428833008
2011-09-23,9.918623924255371,7.25601053237915,17.725929260253906,10.26102066040039,24.700546264648438,22.390060424804688,19.998802185058594,15.023229598999023
2011-09-26,10.042608261108398,7.57905387878418,18.37215805053711,10.34394359588623,25.108566284179688,22.955354690551758,20.385217666625977,15.37642765045166
2011-09-27,10.170721054077148,7.616325378417969,18.640918731689453,10.380797386169434,25.4930419921875,23.360218048095703,20.507244110107422,15.481539726257324
2011-09-28,10.026077270507812,7.398894309997559,18.03093147277832,10.276379585266113,25.053640365600586,22.764371871948242,20.120826721191406,15.216650009155273
2011-09-29,10.005415916442871,7.603901386260986,18.203046798706055,10.442221641540527,25.218414306640625,23.092849731445312,20.317426681518555,15.090509414672852
2011-09-30,9.75331974029541,7.336771011352539,17.668554306030273,10.325515747070312,24.896705627441406,22.321313858032227,20.107276916503906,14.657426834106445
2011-10-03,9.534278869628906,7.0075154304504395,17.067626953125,10.079815864562988,24.104217529296875,21.694910049438477,19.815763473510742,14.228555679321289
2011-10-04,9.728517532348633,7.287074089050293,17.626283645629883,10.03067684173584,24.36315155029297,22.298397064208984,20.00558090209961,14.678449630737305
2011-10-05,9.931029319763184,7.392680644989014,18.27552604675293,10.036823272705078,24.755477905273438,22.772010803222656,20.03269386291504,14.947549819946289
2011-10-06,10.079804420471191,7.622537612915039,18.61977767944336,10.214951515197754,25.053640365600586,23.23035430908203,20.269975662231445,15.296533584594727
2011-10-07,10.042608261108398,7.34919548034668,18.39027976989746,10.257951736450195,25.03009605407715,23.1768798828125,20.385217666625977,15.283924102783203
2011-10-10,10.35256576538086,7.728146076202393,19.223726272583008,10.4575834274292,25.602886199951172,23.986623764038086,20.70384407043457,15.801097869873047
2011-10-11,10.398024559020996,7.721936225891113,19.262985229492188,10.362374305725098,25.563657760620117,24.05536651611328,20.66317367553711,15.868376731872559
2011-10-12,10.443486213684082,7.920731067657471,19.36565399169922,10.337801933288574,25.57933807373047,24.360942840576172,20.825868606567383,16.011329650878906
2011-10-13,10.559202194213867,7.734359264373779,19.33847427368164,10.337801933288574,25.55580711364746,24.154678344726562,20.764863967895508,15.998717308044434
2011-10-14,10.74517822265625,7.82754373550415,20.111534118652344,10.436083793640137,25.799049377441406,24.590103149414062,20.92756462097168,16.259397506713867
2011-10-17,10.57573413848877,7.585264205932617,19.746143341064453,10.393089294433594,25.351802825927734,23.887311935424805,20.785198211669922,15.927230834960938
2011-10-18,10.670788764953613,7.945580959320068,20.380287170410156,10.46679401397705,25.540111541748047,24.5748291015625,20.941125869750977,16.250995635986328
2011-10-19,10.464151382446289,7.83375883102417,20.16890525817871,10.476014137268066,25.4930419921875,24.276905059814453,20.880107879638672,16.007125854492188
2011-10-20,10.41869068145752,7.951790809631348,20.325927734375,10.534358978271484,25.469497680664062,24.483163833618164,20.99535369873047,16.087017059326172
2011-10-21,10.550939559936523,8.156801223754883,20.700389862060547,10.712492942810059,25.979511260986328,24.956783294677734,21.334312438964844,16.532705307006836
2011-10-24,10.716249465942383,8.336955070495605,20.972166061401367,10.666425704956055,26.371829986572266,25.42276382446289,21.1851749420166,16.77657699584961
2011-10-25,10.546807289123535,8.088462829589844,20.5343017578125,10.546650886535645,25.83827781677246,24.90330696105957,20.934350967407227,16.410768508911133
2011-10-26,10.592263221740723,8.23134708404541,20.978212356567383,10.589646339416504,26.18351936340332,25.079004287719727,21.144495010375977,16.347702026367188
2011-10-27,10.906356811523438,8.722122192382812,21.90829086303711,10.841486930847168,26.819082260131836,26.171390533447266,21.415672302246094,16.793399810791016
2011-10-28,10.943549156188965,8.7283353805542,22.056251525878906,10.752419471740723,26.842618942260742,26.171390533447266,21.361433029174805,16.663043975830078
2011-10-31,10.749310493469238,8.386655807495117,21.05068016052246,10.703279495239258,26.332603454589844,25.529706954956055,21.042810440063477,16.40656852722168
2011-11-01,10.451750755310059,7.989064693450928,20.371231079101562,10.479079246520996,25.830432891845703,24.758169174194336,20.676727294921875,16.05337142944336
2011-11-02,10.579866409301758,8.225132942199707,20.98424530029297,10.663352012634277,26.00305938720703,25.247058868408203,20.873334884643555,16.217361450195312
2011-11-03,10.831966400146484,8.368017196655273,21.53685760498047,10.792346954345703,26.285524368286133,25.865825653076172,21.13094139099121,16.42759132385254
2011-11-04,10.765843391418457,8.256196975708008,21.518735885620117,10.743203163146973,26.042285919189453,25.667219161987305,21.0089111328125,16.36452293395996
2011-11-07,10.831966400146484,8.2996826171875,21.63650131225586,10.801559448242188,26.34830093383789,25.72831916809082,21.1851749420166,16.469640731811523
2011-11-08,10.955949783325195,8.45499324798584,21.989822387695312,10.87220287322998,26.67000389099121,26.01861000061035,21.39533233642578,16.62942123413086
2011-11-09,10.57573413848877,7.995275974273682,21.017454147338867,10.635714530944824,25.901044845581055,25.010257720947266,20.893672943115234,16.036561965942383
2011-11-10,10.608797073364258,8.032551765441895,21.382848739624023,10.706352233886719,26.26983642578125,25.315813064575195,21.097043991088867,16.187917709350586
2011-11-11,10.811302185058594,8.225132942199707,21.82071304321289,10.859914779663086,26.732769012451172,25.919307708740234,21.341096878051758,16.595775604248047
2011-11-14,10.72864818572998,8.057400703430176,21.533830642700195,10.730923652648926,26.552310943603516,25.75889015197754,21.158056259155273,16.47384262084961
2011-11-15,10.873292922973633,8.094676971435547,21.50967788696289,10.749348640441895,26.615076065063477,25.911659240722656,21.259746551513672,16.532705307006836
2011-11-16,10.712114334106445,7.895877838134766,21.186569213867188,10.620357513427734,26.105056762695312,25.529706954956055,21.069923400878906,16.22156524658203
2011-11-17,10.505475044250488,7.740572452545166,20.703401565551758,10.565078735351562,25.830432891845703,25.086637496948242,20.99535369873047,15.935648918151855
2011-11-18,10.41869068145752,7.765422821044922,20.57959747314453,10.63878345489502,25.7755126953125,25.14775848388672,21.056371688842773,15.927230834960938
2011-11-21,10.236848831176758,7.572835445404053,20.211181640625,10.506721496582031,25.281187057495117,24.56719398498535,20.717403411865234,15.679168701171875
2011-11-22,10.220315933227539,7.504502296447754,20.020936965942383,10.377729415893555,25.343957901000977,24.40676498413086,20.737741470336914,15.670753479003906
2011-11-23,9.976481437683105,7.299495220184326,19.413965225219727,10.214951515197754,24.97517967224121,23.841482162475586,20.514028549194336,15.359615325927734
2011-11-25,9.922758102416992,7.318131446838379,19.27507209777832,10.267165184020996,24.88100814819336,23.803287506103516,20.588598251342773,15.27551555633545
2011-11-28,10.249245643615723,7.53556489944458,19.996788024902344,10.39615535736084,25.547964096069336,24.60538101196289,20.914003372192383,15.742228507995605
2011-11-29,10.195524215698242,7.498290061950684,20.283662796020508,10.50979232788086,25.657814025878906,24.628314971923828,21.13094139099121,15.79688549041748
2011-11-30,10.58813190460205,7.958003997802734,21.400968551635742,10.813843727111816,26.583688735961914,25.888742446899414,21.625823974609375,16.288841247558594
2011-12-01,10.645990371704102,7.914515018463135,21.283201217651367,10.783130645751953,26.622928619384766,25.80471420288086,21.5919246673584,16.30144691467285
2011-12-02,10.637723922729492,8.020130157470703,21.265079498291016,10.672567367553711,26.293371200561523,25.751243591308594,21.517356872558594,16.42759132385254
